id,lng,lat,name,outlet_id
USGS-02175025,-80.4501667,32.75394444,"EDISTO RIVER BELOW JACKSONBORO, SC",USGS-02175025
USGS-07332340,-96.6815444,34.47575278,"Little West Blue Creek Nr Connerville, OK",USGS-07381490
USGS-15303600,-155.5888516,62.9521566,KUSKOKWIM R AT MCGRATH AK,USGS-15304000
USGS-04025500,-91.5952778,46.53777778,"BOIS BRULE RIVER AT BRULE, WI",ECCC-02OA016
USGS-04026561,-90.59,46.3947222,"TYLER FORKS RIVER AT STRICKER ROAD NEAR MELLEN, WI",ECCC-02OA016
USGS-04026740,-90.7362967,46.41661565,"MARENGO RIVER NEAR MELLEN, WI",ECCC-02OA016
USGS-04027000,-90.696297,46.4866144,"BAD RIVER NEAR ODANAH, WI",ECCC-02OA016
USGS-04031000,-90.0746179,46.5113361,"BLACK RIVER NEAR BESSEMER, MI",ECCC-02OA016
USGS-04033000,-89.0765285,46.3568916,"MIDDLE BRANCH ONTONAGON RIVER NEAR PAULDING, MI",ECCC-02OA016
USGS-04036000,-89.5418197,46.5874471,"WEST BRANCH ONTONAGON RIVER NEAR BERGLAND, MI",ECCC-02OA016
USGS-04040000,-89.207086,46.7207742,"ONTONAGON RIVER NEAR ROCKLAND, MI",ECCC-02OA016
USGS-04041500,-88.6624167,46.7258333,"STURGEON RIVER NEAR ALSTON, MI",ECCC-02OA016
USGS-04043097,-88.4431868,46.7346552,"FALLS RIVER NEAR L'ANSE, MI",ECCC-02OA016
USGS-04044003,-87.4103611,46.5716944,"DEAD RIVER AT MARQUETTE, MI",ECCC-02OA016
USGS-04045500,-85.26963889,46.5745833,"TAHQUAMENON RIVER NEAR PARADISE, MI",ECCC-02OA016
USGS-04056500,-86.161249,46.03052857,"MANISTIQUE RIVER NEAR MANISTIQUE, MI",ECCC-02OA016
USGS-04058100,-87.5020817,46.3171649,"MIDDLE BRANCH ESCANABA RIVER NR PRINCETON, MI",ECCC-02OA016
USGS-04059000,-87.2135278,45.90891667,"ESCANABA RIVER AT CORNELL, MI",ECCC-02OA016
